case_id	terminal	lifecycle	trust_resume_metadata	surface	boss_bridge	executable_health	expected_recovery	expected_recovery_prompt	expected_readiness	optimal_operator_outcome	optimal_boss_outcome
WB-0001	claude	configured	trusted_auto_session	sidebar_dashboard	registered	available	noAction	false	ready	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Controls stay available and no human gate is invented.	Selected Ouro boss can inspect, summarize, and control the Claude Code terminal session through Workbench MCP.
WB-0002	claude	configured	trusted_auto_session	sidebar_dashboard	registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0003	claude	configured	trusted_auto_session	sidebar_dashboard	not_registered	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0004	claude	configured	trusted_auto_session	sidebar_dashboard	not_registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0005	claude	configured	trusted_auto_session	sidebar_dashboard	needs_update	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0006	claude	configured	trusted_auto_session	sidebar_dashboard	needs_update	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0007	claude	configured	trusted_auto_session	sidebar_dashboard	agent_missing	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0008	claude	configured	trusted_auto_session	sidebar_dashboard	agent_missing	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0009	claude	configured	trusted_auto_session	sidebar_hidden_dashboard	registered	available	noAction	false	ready	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Controls stay available and no human gate is invented.	Selected Ouro boss can inspect, summarize, and control the Claude Code terminal session through Workbench MCP.
WB-0010	claude	configured	trusted_auto_session	sidebar_hidden_dashboard	registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
